Categoria,Subcategoria,Problema_ES,Solucion_ES,Problema_EN,Solucion_EN
Cuenta,General,"El cliente quiere saber cómo actualizar su información de contacto (teléfono, correo).","Guiar al cliente al menú 'Mi Perfil > Datos de Contacto' en la app o el portal web, donde puede actualizar teléfono y correo directamente. Si no tiene acceso al portal, tomar los nuevos datos y actualizarlos manualmente en el CRM, confirmando la identidad del cliente primero.","The customer wants to know how to update their contact information (phone, email).","Guide the customer to the 'My Profile > Contact Details' menu in the app or web portal, where they can update phone and email directly. If they don't have portal access, take the new details and update them manually in the CRM, confirming the customer's identity first."
Hold,Bloqueo de Cuenta,"El cliente no puede acceder a su cuenta porque aparece bloqueada.","1. Verificar el motivo del bloqueo en el log de seguridad (intentos fallidos, alerta de fraude, mora prolongada).
2. Si es por intentos fallidos, guiar al cliente en el proceso de restablecimiento de contraseña.
3. Si es por mora, explicar el motivo y las opciones de regularización disponibles.
4. Si es por alerta de fraude, escalar al equipo de Seguridad sin desbloquear la cuenta.","The customer cannot access their account because it appears blocked.","1. Check the block reason in the security log (failed attempts, fraud alert, prolonged delinquency).
2. If it's due to failed attempts, guide the customer through the password reset process.
3. If it's due to delinquency, explain the reason and the available regularization options.
4. If it's due to a fraud alert, escalate to the Security team without unblocking the account."
Hold,Retención por Documentación,"La cuenta está en Hold porque falta documentación requerida (aplicación de crédito, W-9, certificado de exención de impuestos, etc.).","1. Identificar en el sistema qué documento específico falta o está vencido.
2. Solicitar el documento al cliente indicando el formato aceptado y la fecha límite.
3. Cargar el documento recibido en el sistema y notificar al equipo de Crédito.
4. Confirmar con el cliente el tiempo estimado para liberar el Hold una vez validado el documento (usualmente 1-2 días hábiles).","The account is on Hold because required documentation is missing (credit application, W-9, tax exemption certificate, etc.).","1. Identify in the system which specific document is missing or expired.
2. Request the document from the customer, indicating the accepted format and the deadline.
3. Upload the received document to the system and notify the Credit team.
4. Confirm with the customer the estimated time to release the Hold once the document is validated (usually 1-2 business days)."
Disputas,Mercancía No Recibida,"El cliente afirma que pagó por un producto o servicio que nunca recibió.","1. Solicitar al cliente evidencia de la compra (número de orden, fecha estimada de entrega).
2. Confirmar con el comercio el estado del envío, si aplica.
3. Si pasaron más de 30 días sin entrega, abrir disputa por 'Bienes/Servicios No Recibidos'.
4. Dar seguimiento cada 5 días hábiles hasta resolución.","The customer claims they paid for a product or service they never received.","1. Ask the customer for proof of purchase (order number, estimated delivery date).
2. Confirm shipment status with the merchant, if applicable.
3. If more than 30 days have passed without delivery, open a dispute for 'Goods/Services Not Received'.
4. Follow up every 5 business days until resolution."
Disputas,Impuestos (STEC & Form),"El cliente disputa un cargo de impuestos, indicando que cuenta con un certificado de exención (STEC) o que ya envió el formulario correspondiente.","1. Verificar en el sistema si existe un STEC vigente asociado a la cuenta.
2. Si el certificado está vencido o no está en archivo, solicitar al cliente una copia actualizada.
3. Si el STEC es válido y cubre la transacción, procesar la reversa del impuesto.
4. Si hay dudas sobre la aplicabilidad, escalar al equipo de Impuestos antes de resolver.","The customer disputes a tax charge, stating they have a tax exemption certificate (STEC) or already submitted the corresponding form.","1. Check the system for a valid STEC on file for the account.
2. If the certificate is expired or missing, request an updated copy from the customer.
3. If the STEC is valid and covers the transaction, process the tax reversal.
4. If there is doubt about applicability, escalate to the Tax team before resolving."
Disputas,Recargos por Combustible,"El cliente disputa el recargo por combustible (fuel surcharge) aplicado en su factura.","1. Verificar la tarifa de recargo por combustible vigente en la fecha de la factura (según el índice publicado).
2. Comparar la tarifa aplicada contra la tarifa oficial correspondiente a esa fecha.
3. Si hay una diferencia por error de aplicación, emitir el ajuste/crédito correspondiente.
4. Si la tarifa es correcta, compartir con el cliente la tabla de referencia para explicar el cálculo.","The customer disputes the fuel surcharge applied on their invoice.","1. Check the fuel surcharge rate in effect on the invoice date (per the published index).
2. Compare the rate applied against the official rate for that date.
3. If there is a discrepancy due to an application error, issue the corresponding credit/adjustment.
4. If the rate is correct, share the reference table with the customer to explain the calculation."
Disputas,Pago Duplicado,"El cliente indica que un mismo pago fue aplicado dos veces en su cuenta.","1. Verificar en el sistema ambas aplicaciones de pago (referencia, fecha y monto).
2. Confirmar con el área de Tesorería/Conciliación si efectivamente se trata de una duplicidad.
3. Si se confirma, aplicar el pago sobrante como crédito a favor o procesar el reembolso, según prefiera el cliente.
4. Documentar el ajuste en el sistema y notificar al cliente.","The customer states that the same payment was applied twice to their account.","1. Verify both payment postings in the system (reference, date and amount).
2. Confirm with Treasury/Reconciliation whether it is indeed a duplicate.
3. If confirmed, apply the extra payment as a credit on account or process a refund, per the customer's preference.
4. Document the adjustment in the system and notify the customer."
Disputas,Aviso de Remesa,"El cliente indica que no recibió, o no puede ubicar, el aviso de remesa (remittance advice) de su pago.","1. Verificar en el sistema si el aviso de remesa fue generado y enviado correctamente.
2. Confirmar que el correo de contacto en archivo esté actualizado.
3. Reenviar el aviso de remesa al correo correcto.
4. Si el sistema no generó el aviso, escalar al equipo de Facturación para su emisión manual.","The customer states they did not receive, or cannot locate, the remittance advice for their payment.","1. Check the system to confirm whether the remittance advice was generated and sent correctly.
2. Confirm the contact email on file is up to date.
3. Resend the remittance advice to the correct email address.
4. If the system did not generate it, escalate to the Billing team for manual issuance."
Disputas,POA,"La disputa o el ajuste solicitado requiere validar el POA asociado a la cuenta antes de procesarse.","1. Verificar en el sistema si existe un POA vigente y válido para la cuenta.
2. Si está vencido o no coincide con el solicitante, pedir al cliente una copia actualizada.
3. Una vez validado el POA, continuar con el trámite de la disputa o el ajuste.
4. Si hay inconsistencias, escalar al supervisor antes de procesar cualquier cambio.","The requested dispute or adjustment requires validating the POA associated with the account before it can be processed.","1. Check the system for a current, valid POA on file for the account.
2. If it is expired or does not match the requester, ask the customer for an updated copy.
3. Once the POA is validated, proceed with the dispute or adjustment.
4. If there are inconsistencies, escalate to a supervisor before processing any change."
Disputas,Pago Parcial,"El pago recibido es menor al monto facturado (short payment) sin una explicación aparente.","1. Identificar la diferencia exacta entre el monto facturado y el monto pagado.
2. Revisar si existen créditos, descuentos o deducciones aprobadas que expliquen la diferencia.
3. Si no hay justificación, contactar al cliente para solicitar el soporte de la deducción.
4. Aplicar el ajuste correspondiente o gestionar el cobro del saldo restante.","The payment received is less than the invoiced amount (short payment) with no apparent explanation.","1. Identify the exact difference between the invoiced amount and the amount paid.
2. Check for approved credits, discounts or deductions that would explain the difference.
3. If there is no justification, contact the customer to request backup for the deduction.
4. Apply the corresponding adjustment or pursue collection of the remaining balance."
